20,Area Under the Curve (AUC),"""Area under the ROC Curve."" That is, AUC measures the entire two-dimensional area underneath the entire ROC curve (think integral calculus) from (0,0) to (1,1).",https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc,
131,FTRL Optimization,"""Follow the regularized leader"", works well on wide models. Good for DNN and linear models.",,
156,Multiclass Neural Network,A classification neural network with output neurons that correspond to each possible class.,,
37,neural networks,"A collection of nodes that roughly work as brain neurons do, taking inputs, running a calculation, then passing the result to subsequent neurons, until a final prediction is reached",,
101,Feature Column,"A column that contains data that your model will use when making its predictions. In TensorFlow, a bridge between the raw data and the model Estimator.",https://medium.com/ml-book/demonstration-of-tensorflow-feature-columns-tf-feature-column-3bfcca4ca5c4,
52,Confusion Matrix,A confusion matrix is a square matrix that shows predictions compared to labels after a training session. The same set of possible predictions/labels is shown both horizontally and vertically in the same order. One dimension represents predictions and the other labels Correct predications are along the main diagonal.,,
45,Convolutional Neural Network (CNN),"A Convolutional Neural Network is a deep learning network that includes ""convolutions"" suited to recognizing higher-level features in an image.",,
107,Vertex Data Labeling,A data labeling service,,
50,Google Facets,A data visualization tool used in ML,https://pair-code.github.io/facets/,
54,Decision Trees,A Decion Tree organizes features into a tree of successive comparisons that progressively refine the prediction,,
10,Dense Neural Network (DNN),A dense neural network is a deep neural network in which all the neurons are connect to all of the neurons in neighbording layers.,,
151,Softmax,"A function applied to the outputs of a neural network to constain them to a probability distribution - where all the outputs sum to 1. Computationally intensive for large numbers of classes, so approximations are used like Candidate Sampling or Noise Contrastive Estimation instead.",,
12,loss function,"A function who's value the a training algorithm will try to minimize. Usually some measure of the difference between predicted values and actual values, along with regularization terms.",,
28,Integrated gradients,"A gradients-based method to efficiently compute feature attributions with the same axiomatic properties as the Shapley value.
Recommended for:
- Differentiable models, such as neural networks.
- Models with large feature spaces.
- Low-contrast images, such as X-rays.
- Classification and regression on tabular data
- Classification on image data",,
105,Vertex Notebooks,A managed Jupyter Notebooks platform,,
76,Classification,"A model which predicts a particular class from a set of possible classes, based on some number of input values.",,
83,Perceptron,A perceptron is a single-layer neural network.,https://towardsdatascience.com/what-the-hell-is-perceptron-626217814f53,
90,Support Vector Machines,A support vector machine (SVM) searches for the hyperplane that creates the largest gap - margin - to the data points on each side.,https://towardsdatascience.com/support-vector-machine-introduction-to-machine-learning-algorithms-934a444fca47,
72,Dataframe,A table-like strucure in Pandas,,
100,SparseTensor,A tensor type that is stored as a dictionary that contains only those values that are non-zero. Much more efficient when the tensor is expected to contain mostly zeros.,,
99,RaggedTensor,A Tensor type that suppors different lengths of items in the same axis.,,
104,Vertex AutoML,A tool for having models created automatically for you without needing to write any code or perform hyperparameter tuning.,,
121,Max-Norm Regularization,A weight constraint that clips the weight at some maximum.,,
64,Data Quality Attributes,"Accuracy, Consistency, Timeliness, Completeness",,
135,L0 Regularization,"Adding a term to the loss function that is simply the count of the non-zero weights in the model, which helps to reduce the number of features in the model. Not commonly used as it is non-convex and NP hard.",,
119,L1 Regularization,"Adds the sum of all the weights (times a scaler) to the loss function, penalizing models with more non-zero weights. Results in a model that is more sparse, meaning that some of the weights will go to zero.",,
120,L2 Regularization,"Adds the sum of the squares of all the weights (times a constant) to the loss function, penalizing models with a few very large weights. Simplifies the model and improves generalization by keeping the overall weights lower, and substantially penalizing large-value outliers.",,
